Story Title,Estimate,Vote Started,Voting Duration,Avg Voting Time,Fastest,Slowest,Actual
"As a user, I want each venue page to have an interactive map to make it easier to find the location of the museum.",0,21/10/2017 21:29:45,0:00:17,0:00:12,Kelly Nguyen,Joshua Morris,1
"As a user, I want to be able to filter the art works to make it easier to find what I want.",3,21/10/2017 21:29:22,0:00:11,0:00:07,Kelly Nguyen,Joshua Morris,3
"As a user, I want to be able to sort the art works to make it easier to find what I want.",3,21/10/2017 21:28:10,0:01:08,0:00:22,Kelly Nguyen,Joshua Morris,4
"As an art student, I want to be informed of current events in the art world",2,21/10/2017 21:26:59,0:01:07,0:00:31,Kelly Nguyen,Joshua Morris,1
"As a user, I want to be able to preview the image for each item so I can more easily find the art work I want to see.",2,21/10/2017 21:26:19,0:00:32,0:00:15,Kelly Nguyen,Joshua Morris,2
"As a developer, I want the web app to have a well-documented RESTful API so I can use the data in my applications.",3,21/10/2017 21:25:37,0:00:32,0:00:14,Kelly Nguyen,Joshua Morris,5
"As an art curator, I want each venue page to have social media information so I can keep up with other art museums.",1,21/10/2017 21:25:12,0:00:17,0:00:09,Kelly Nguyen,Joshua Morris,1
"As an art student, I want each art work to have an image so I can study what the look like.",1,21/10/2017 21:24:10,0:00:58,0:00:13,Kelly Nguyen,Joshua Morris,1
As a user I want plenty of examples in each model page,3,21/10/2017 21:23:46,0:00:17,0:00:08,Kelly Nguyen,Joshua Morris,5
"As a user, I want the webpage to load quickly so I don't have to waste my time",5,21/10/2017 21:23:11,0:00:20,0:00:10,Kelly Nguyen,Joshua Morris,3
"As a user, I would like to be able to see more multi-media content on this website, ex. maps, videos, and images",2,21/10/2017 21:22:10,0:00:48,0:00:22,Kelly Nguyen,Joshua Morris,3
Google maps integration for location of museums,1,25/09/2017 23:36:45,0:00:41,0:00:22,Kelly Nguyen,Joshua Morris,1
There should be images for each instance of a model,3,25/09/2017 23:35:45,0:00:52,0:00:28,Kelly Nguyen,Joshua Morris,2
Model page should link to instances of that model,1,25/09/2017 21:33:34,0:00:22,0:00:14,Kelly Nguyen,Joshua Morris,1
There should be a page for every instance of each Model,3,25/09/2017 21:33:12,0:00:16,0:00:12,Kelly Nguyen,Joshua Morris,2
There should be a page for each type of Model,3,25/09/2017 21:32:41,0:00:21,0:00:15,Kelly Nguyen,Joshua Morris,3
There should be a nav bar on every page,1,25/09/2017 21:32:15,0:00:20,0:00:13,Kelly Nguyen,Joshua Morris,1
Home page,1,25/09/2017 21:30:51,0:00:24,0:00:14,Kelly Nguyen,Joshua Morris,2
There should be an about page,1,25/09/2017 21:30:01,0:00:34,0:00:28,Kelly Nguyen,Joshua Morris,2
Find Sources,0,25/09/2017 21:28:18,0:01:08,0:00:29,Kelly Nguyen,Joshua Morris,0
